Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10306886,Hoegaarden,HOUSE,HOUSE,395000.0,BUY_REGULAR,3.0,288.0,1,None,0,1,16,1,120,300,2,None,AS_NEW
10303734,Beersel,HOUSE,HOUSE,99000.0,BUY_REGULAR,2.0,75.0,None,None,0,None,None,None,None,58,3,0,
10290000,Machelen,HOUSE,TOWN_HOUSE,465000.0,BUY_REGULAR,3.0,,0,None,0,1,20,1,403,0,3,0,GOOD
10297021,Affligem,HOUSE,HOUSE,215000.0,BUY_REGULAR,3.0,125.0,0,None,0,None,None,None,None,155,3,None,TO_BE_DONE_UP
10287474,Begijnendijk,HOUSE,HOUSE,229000.0,BUY_REGULAR,3.0,115.0,0,None,0,None,None,1,447,780,3,0,TO_RENOVATE
10293974,Keerbergen,HOUSE,HOUSE,365000.0,BUY_REGULAR,4.0,260.0,0,None,0,None,None,1,1311,1501,4,None,TO_RENOVATE
10298761,Zaventem,HOUSE,HOUSE,1050000.0,BUY_REGULAR,7.0,490.0,None,None,0,1,None,1,800,985,None,None,None
10309339,Keerbergen,HOUSE,HOUSE,683000.0,BUY_REGULAR,5.0,278.0,None,None,0,1,None,None,None,3168,4,None,
10281613,Tienen,HOUSE,MANSION,339000.0,BUY_REGULAR,4.0,182.0,0,None,0,1,30,1,120,220,2,0,GOOD
10311769,Scherpenheuvel,APARTMENT,GROUND_FLOOR,265000.0,BUY_REGULAR,2.0,89.0,1,None,0,1,18,1,37,None,,None,
10301527,Sterrebeek,HOUSE,HOUSE,915000.0,BUY_REGULAR,4.0,323.0,1,None,0,None,None,None,None,674,4,0,TO_BE_DONE_UP
10284591,Boortmeerbeek,HOUSE,VILLA,949000.0,BUY_REGULAR,4.0,270.0,1,None,1,None,None,None,None,5039,4,1,GOOD
10306871,Diest,HOUSE,MANSION,459000.0,BUY_REGULAR,4.0,165.0,0,None,0,1,27,None,None,74,2,None,JUST_RENOVATED
10303733,Huizingen,HOUSE,HOUSE,99000.0,BUY_REGULAR,2.0,75.0,None,None,0,None,None,None,None,58,3,0,
10289945,Vilvoorde,HOUSE,HOUSE,185000.0,PUBLIC_SALE,4.0,,None,None,0,None,None,None,None,137,2,None,TO_RENOVATE
10297015,Liedekerke,HOUSE,HOUSE,295000.0,BUY_REGULAR,4.0,250.0,0,None,0,None,None,None,None,186,2,None,JUST_RENOVATED
10287459,Gooik,HOUSE,VILLA,975000.0,BUY_REGULAR,4.0,338.0,None,None,0,1,None,None,None,12860,4,0,GOOD
10293964,Vilvoorde,APARTMENT,APARTMENT,269000.0,BUY_REGULAR,2.0,75.0,0,None,0,None,None,None,None,,,None,AS_NEW
10298760,Zaventem,HOUSE,MIXED_USE_BUILDING,1050000.0,BUY_REGULAR,5.0,490.0,None,None,0,1,None,1,800,985,None,None,None
10309338,Rotselaar,HOUSE,HOUSE,265000.0,BUY_REGULAR,3.0,173.0,None,None,0,1,None,1,1220,0,3,None,TO_RENOVATE
10281598,Leuven,HOUSE,VILLA,1149000.0,BUY_REGULAR,5.0,300.0,0,None,0,None,None,None,None,651,4,0,AS_NEW
10311742,Wezembeek-Oppem,APARTMENT,APARTMENT,439900.0,BUY_REGULAR,3.0,130.0,0,None,0,1,15,None,None,None,4,None,
10301506,Leuven,HOUSE,HOUSE,399000.0,BUY_REGULAR,3.0,143.0,0,None,0,1,None,None,None,354,2,None,
10284555,Groot-Bijgaarden,APARTMENT,APARTMENT,179000.0,BUY_REGULAR,1.0,,0,None,0,1,4,1,None,None,,0,JUST_RENOVATED
10120534,Diest,HOUSE,MIXED_USE_BUILDING,220000.0,BUY_REGULAR,0.0,211.0,0,None,0,None,None,None,None,89,3,None,GOOD
10230712,Halle,HOUSE,HOUSE,159000.0,BUY_REGULAR,1.0,67.0,None,None,0,None,None,None,None,40,2,None,
10289906,Zaventem,HOUSE,VILLA,499000.0,BUY_REGULAR,4.0,165.0,0,None,0,None,None,1,750,834,4,None,
10289900,Beersel,HOUSE,HOUSE,648000.0,BUY_REGULAR,2.0,211.0,0,None,0,1,None,None,None,765,4,None,TO_BE_DONE_UP
